GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mybatis-spring-boot-autoconfigure,org.mybatis.spring.boot.autoconfigure,MybatisLanguageDriverAutoConfiguration.LegacyFreeMarkerConfiguration,0,7,0,0,0,2,0,2,0,2
mybatis-spring-boot-autoconfigure,org.mybatis.spring.boot.autoconfigure,MybatisAutoConfiguration.AutoConfiguredMapperScannerRegistrar,0,164,4,14,0,39,4,11,0,6
mybatis-spring-boot-autoconfigure,org.mybatis.spring.boot.autoconfigure,MybatisLanguageDriverAutoConfiguration.VelocityConfiguration,0,10,0,0,0,3,0,3,0,3
mybatis-spring-boot-autoconfigure,org.mybatis.spring.boot.autoconfigure,MybatisLanguageDriverAutoConfiguration,0,3,0,0,0,1,0,1,0,1
mybatis-spring-boot-autoconfigure,org.mybatis.spring.boot.autoconfigure,MybatisAutoConfiguration,0,314,2,54,0,74,2,34,0,8
mybatis-spring-boot-autoconfigure,org.mybatis.spring.boot.autoconfigure,SpringBootVFS,10,73,2,2,2,16,2,7,0,7
mybatis-spring-boot-autoconfigure,org.mybatis.spring.boot.autoconfigure,MybatisLanguageDriverAutoConfiguration.ThymeleafConfiguration.MetadataThymeleafLanguageDriverConfig,6,0,0,0,2,0,2,0,2,0
mybatis-spring-boot-autoconfigure,org.mybatis.spring.boot.autoconfigure,MybatisLanguageDriverAutoConfiguration.LegacyVelocityConfiguration,0,7,0,0,0,2,0,2,0,2
mybatis-spring-boot-autoconfigure,org.mybatis.spring.boot.autoconfigure,MybatisAutoConfiguration.MapperScannerRegistrarNotFoundConfiguration,0,7,0,0,0,3,0,2,0,2
mybatis-spring-boot-autoconfigure,org.mybatis.spring.boot.autoconfigure,MybatisProperties.CoreConfiguration,0,534,0,0,0,127,0,64,0,64
mybatis-spring-boot-autoconfigure,org.mybatis.spring.boot.autoconfigure,MybatisLanguageDriverAutoConfiguration.ThymeleafConfiguration,0,10,0,0,0,3,0,3,0,3
mybatis-spring-boot-autoconfigure,org.mybatis.spring.boot.autoconfigure,MybatisDependsOnDatabaseInitializationDetector,0,6,0,0,0,2,0,2,0,2
mybatis-spring-boot-autoconfigure,org.mybatis.spring.boot.autoconfigure,MybatisLanguageDriverAutoConfiguration.FreeMarkerConfiguration,0,10,0,0,0,3,0,3,0,3
mybatis-spring-boot-autoconfigure,org.mybatis.spring.boot.autoconfigure,MybatisProperties,3,109,0,0,1,37,1,25,1,25
